# cos(theta), ADF
# Values from Kim et al. (DOI: 10.1063/1.2431173)
-1.00128e+0, 4.48326e-2
-1.00158e+0, 1.39487e-2
-9.94231e-1, 8.99372e-2
-9.76486e-1, 1.23662e-1
-9.63986e-1, 1.48351e-1
-9.51985e-1, 1.75517e-1
-9.30295e-1, 2.00520e-1
-9.13101e-1, 2.21856e-1
-8.90445e-1, 2.46949e-1
-8.64099e-1, 2.70686e-1
-8.34984e-1, 2.94201e-1
-8.02419e-1, 3.10561e-1
-7.74003e-1, 3.29652e-1
-7.43510e-1, 3.48426e-1
-7.11107e-1, 3.62574e-1
-6.83324e-1, 3.80951e-1
-6.54419e-1, 3.96638e-1
-6.21548e-1, 4.18470e-1
-5.89142e-1, 4.34762e-1
-5.62949e-1, 4.48128e-1
-5.31637e-1, 4.69083e-1
-4.99588e-1, 4.87201e-1
-4.71494e-1, 5.06689e-1
-4.39464e-1, 5.18971e-1
-4.11633e-1, 5.33992e-1
-3.87134e-1, 5.48355e-1
-3.55469e-1, 5.57873e-1
-3.23845e-1, 5.62066e-1
-2.96692e-1, 5.59908e-1
-2.61699e-1, 5.61147e-1
-2.36041e-1, 5.55155e-1
-2.03641e-1, 5.56279e-1
-1.72705e-1, 5.45494e-1
-1.42264e-1, 5.30373e-1
-1.10753e-1, 5.18585e-1
-8.57634e-2, 5.02715e-1
-5.83860e-2, 4.92782e-1
-2.90508e-2, 4.76537e-1
-1.16534e-2, 4.60204e-1
1.82440e-2, 4.52000e-1
4.98410e-2, 4.38380e-1
7.72178e-2, 4.28046e-1
1.12026e-1, 4.17379e-1
1.40039e-1, 4.12506e-1
1.69702e-1, 4.06051e-1
2.00970e-1, 4.14618e-1
2.31441e-1, 4.19209e-1
2.63069e-1, 4.34858e-1
2.89818e-1, 4.49341e-1
3.16888e-1, 4.73557e-1
3.44413e-1, 4.96311e-1
3.62131e-1, 5.22542e-1
3.80720e-1, 5.44459e-1
4.03384e-1, 5.74898e-1
4.14954e-1, 5.95280e-1
4.31829e-1, 6.13375e-1
4.36723e-1, 6.44570e-1
4.62273e-1, 6.65042e-1
4.81106e-1, 6.91428e-1
5.02000e-1, 7.18778e-1
5.22977e-1, 7.42188e-1
5.53041e-1, 7.66348e-1
5.78544e-1, 7.65192e-1
5.90579e-1, 7.44067e-1
6.11706e-1, 7.18360e-1
6.19578e-1, 6.91541e-1
6.35904e-1, 6.66332e-1
6.42266e-1, 6.37363e-1
6.49925e-1, 6.15022e-1
6.56807e-1, 5.87766e-1
6.60369e-1, 5.62576e-1
6.68913e-1, 5.35706e-1
6.77064e-1, 5.10100e-1
6.80868e-1, 4.75218e-1
6.89834e-1, 4.52377e-1
6.95316e-1, 4.15030e-1
7.04936e-1, 3.67183e-1
7.10433e-1, 3.39815e-1
7.15497e-1, 3.08130e-1
7.27400e-1, 2.66727e-1
7.34267e-1, 2.29946e-1
7.40692e-1, 2.05251e-1
7.47954e-1, 1.67916e-1
7.59454e-1, 1.26543e-1
7.71442e-1, 9.09078e-2
7.82011e-1, 5.93965e-2
7.94440e-1, 3.76818e-2
8.20885e-1, 5.48443e-3
8.53925e-1, -4.83532e-4
8.84391e-1, 1.10992e-3
9.14854e-1, 4.86801e-4
9.45316e-1, -5.39326e-4
9.75780e-1, -4.57172e-4
